D,T,15m,12m,9m,6m,3m,DTR,GPS
48,20,,,,4,19,27,J
48,25,,,,7,30,41,K
48,30,,,1,12,37,55,M
48,35,,,3,18,44,70,N
48,40,,,6,23,48,82,O
48,45,,,10,27,53,95,*
48,50,,1,14,30,59,109,*
48,55,,2,18,32,64,121,*
48,60,,5,19,36,70,135,*
50,5,,,,,1,5,D
50,10,,,,,4,8,F
50,15,,,,2,9,15,H
50,20,,,,4,22,30,J
50,25,,,1,8,32,46,L
50,30,,,2,14,39,60,M
50,35,,,5,20,45,75,N
50,40,,,9,24,50,88,O
50,45,,1,12,29,55,102,*
50,50,,2,17,30,62,116,*
50,55,,5,19,34,67,130,*
52,5,,,,,1,5,D
52,10,,,,1,4,10,F
52,15,,,,3,10,18,I
52,20,,,1,5,23,34,K
52,25,,,2,9,34,50,L
52,30,,,4,15,41,65,M
52,35,,,6,22,47,80,O
52,40,,1,10,26,52,94,O
52,45,,2,15,29,59,110,*
52,50,,5,17,32,64,123,*
52,55,,8,19,36,71,139,*
55,5,,,,,1,5,D
55,10,,,,1,5,11,G
55,15,,,,4,13,22,I
55,20,,,1,6,27,39,K
55,25,,,3,11,37,56,M
55,30,,,6,18,44,73,N
55,35,,1,9,23,50,88,O
55,40,,3,12,29,55,104,P
55,45,,5,17,31,62,120,*
55,50,,8,19,35,69,136,*
55,55,,12,22,37,76,152,*
58,5,,,,,2,7,D
58,10,,,,2,5,12,G
58,15,,,1,4,16,26,J
58,20,,,2,7,30,44,K
58,25,,,4,13,40,62,M
58,30,,1,7,21,46,81,N
58,35,,2,11,26,52,97,O
58,40,,5,15,30,59,115,P
58,45,,8,18,33,66,131,*
58,50,1,11,21,37,74,150,*
58,55,3,14,23,39,83,168,*
60,5,,,,,2,7,D
60,10,,,,2,6,13,G
60,15,,,1,4,19,29,J
60,20,,,3,8,32,48,L
60,25,,,5,15,41,66,M
60,30,,1,8,22,48,85,O
60,35,,4,11,28,54,103,P
60,40,,6,17,30,62,121,P
60,45,1,9,19,35,69,139,*
60,50,2,13,22,37,78,158,*
60,55,5,15,24,40,88,178,*
62,5,,,,,2,7,*
62,10,,,,2,7,14,*
62,15,,,1,5,21,33,*
65,5,,,,,3,8,*
65,10,,,,3,8,16,*
65,15,,,2,5,24,37,*
